# Category classification table for HUC12 basins
# - the value corresponds to HUC12 attribute
# - the label uses HUC12 and Name values, currently hard-coded here because simple
# - old #ff3399 is pink
# - #663300 is brown
value,color,opacity,fillColor,fillOpacity,weight,label
101900040101,#663300,1.0,#663300,0.2,2,"101900040101, South Clear Creek"
101900040102,#663300,1.0,#663300,0.2,2,"101900040102, Headwaters Clear Creek"
101900040103,#663300,1.0,#663300,0.2,2,"101900040103, West Fork Clear Creek"
101900040104,#663300,1.0,#663300,0.2,2,"101900040104, Silver Gulch-Clear Creek"
101900040201,#663300,1.0,#663300,0.2,2,"101900040201, Fall River"
101900040202,#663300,1.0,#663300,0.2,2,"101900040202, Mill Creek-Clear Creek"
101900040203,#663300,1.0,#663300,0.2,2,"101900040203, Headwaters Chicago Creek"
101900040204,#663300,1.0,#663300,0.2,2,"101900040204, Outlet Chicago Creek"
101900040205,#663300,1.0,#663300,0.2,2,"101900040205, Soda Creek"
101900040206,#663300,1.0,#663300,0.2,2,"101900040206, North Clear Creek"
101900040207,#663300,1.0,#663300,0.2,2,"101900040207, Trail Creek-Clear Creek"
101900040301,#663300,1.0,#663300,0.2,2,"101900040301, Upper Ralston Creek"
101900040302,#663300,1.0,#663300,0.2,2,"101900040302, Middle Ralston Creek"
101900040303,#663300,1.0,#663300,0.2,2,"101900040303, Van Bibber Creek"
101900040304,#663300,1.0,#663300,0.2,2,"101900040304, Lower Ralston Creek"
101900040401,#663300,1.0,#663300,0.2,2,"101900040401, Beaver Brook-Clear Creek"
101900040402,#663300,1.0,#663300,0.2,2,"101900040402, Clear Creek Canyon-Clear Creek"
101900040403,#663300,1.0,#663300,0.2,2,"101900040403, North Table Mountain-Clear Creek"
101900040404,#663300,1.0,#663300,0.2,2,"101900040404, Outlet Clear Creek"
